Age_Months,C3,C10,C25,C50,C75,C90,C97
49,14.045,14.680,15.349,16.101,17.000,18.164,19.862
50,14.017,14.656,15.329,16.088,16.996,18.172,19.889
51,13.990,14.632,15.310,16.074,16.992,18.180,19.917
52,13.962,14.608,15.290,16.061,16.987,18.187,19.944
53,13.934,14.583,15.270,16.048,16.983,18.195,19.973
54,13.905,14.558,15.250,16.034,16.978,18.203,20.001
55,13.876,14.533,15.230,16.020,16.973,18.211,20.030
56,13.848,14.508,15.209,16.006,16.968,18.219,20.060
57,13.819,14.483,15.189,15.993,16.964,18.227,20.090
58,13.790,14.458,15.169,15.979,16.959,18.236,20.121
59,13.761,14.433,15.149,15.966,16.955,18.245,20.154
60,13.732,14.409,15.130,15.953,16.951,18.254,20.188
61,13.704,14.385,15.111,15.941,16.948,18.265,20.224
62,13.676,14.361,15.093,15.930,16.946,18.277,20.262
63,13.649,14.339,15.076,15.920,16.945,18.291,20.302
64,13.622,14.317,15.060,15.911,16.946,18.307,20.345
65,13.597,14.297,15.045,15.903,16.949,18.325,20.391
66,13.573,14.277,15.031,15.897,16.954,18.346,20.439
67,13.550,14.259,15.019,15.893,16.961,18.369,20.491
68,13.529,14.243,15.009,15.891,16.970,18.396,20.547
69,13.509,14.228,15.000,15.891,16.982,18.425,20.606
70,13.492,14.215,14.993,15.893,16.998,18.459,20.670
71,13.476,14.203,14.988,15.898,17.017,18.496,20.737
72,13.462,14.194,14.985,15.906,17.039,18.538,20.810
73,13.451,14.187,14.985,15.917,17.065,18.584,20.887
74,13.442,14.182,14.987,15.930,17.096,18.635,20.970
75,13.435,14.180,14.991,15.947,17.130,18.690,21.057
76,13.431,14.179,14.998,15.967,17.168,18.751,21.149
77,13.429,14.181,15.006,15.989,17.211,18.816,21.246
78,13.429,14.184,15.017,16.015,17.257,18.887,21.348
79,13.432,14.190,15.030,16.043,17.308,18.961,21.454
80,13.436,14.197,15.044,16.074,17.362,19.041,21.564
81,13.443,14.206,15.060,16.107,17.420,19.124,21.677
82,13.451,14.216,15.077,16.142,17.482,19.212,21.794
83,13.461,14.228,15.096,16.179,17.546,19.304,21.914
84,13.472,14.240,15.115,16.218,17.614,19.398,22.035
85,13.484,14.253,15.135,16.258,17.684,19.496,22.159
86,13.498,14.267,15.156,16.299,17.756,19.596,22.284
87,13.512,14.282,15.177,16.342,17.830,19.698,22.410
88,13.527,14.297,15.199,16.385,17.905,19.801,22.537
89,13.542,14.312,15.221,16.428,17.982,19.907,22.665
90,13.558,14.328,15.243,16.473,18.060,20.013,22.793
91,13.575,14.345,15.267,16.518,18.139,20.122,22.923
92,13.592,14.362,15.290,16.564,18.220,20.231,23.054
93,13.610,14.380,15.315,16.611,18.301,20.342,23.186
94,13.628,14.398,15.340,16.659,18.384,20.454,23.319
95,13.647,14.417,15.366,16.708,18.467,20.567,23.452
96,13.667,14.437,15.392,16.757,18.552,20.681,23.586
97,13.688,14.457,15.419,16.807,18.637,20.796,23.721
98,13.708,14.478,15.446,16.857,18.723,20.911,23.856
99,13.729,14.499,15.474,16.908,18.810,21.027,23.991
100,13.750,14.520,15.502,16.958,18.896,21.142,24.126
101,13.770,14.541,15.530,17.009,18.982,21.258,24.262
102,13.790,14.562,15.558,17.059,19.068,21.373,24.397
103,13.810,14.583,15.586,17.109,19.153,21.489,24.534
104,13.830,14.604,15.614,17.160,19.238,21.604,24.671
105,13.849,14.625,15.642,17.210,19.323,21.719,24.808
106,13.868,14.646,15.670,17.260,19.408,21.834,24.946
107,13.888,14.667,15.699,17.311,19.494,21.950,25.085
108,13.907,14.689,15.728,17.362,19.579,22.066,25.225
109,13.927,14.711,15.758,17.414,19.665,22.182,25.366
110,13.948,14.734,15.789,17.466,19.751,22.299,25.508
111,13.969,14.758,15.820,17.519,19.839,22.417,25.651
112,13.990,14.782,15.853,17.573,19.926,22.535,25.794
113,14.011,14.807,15.886,17.628,20.014,22.653,25.938
114,14.033,14.831,15.919,17.682,20.101,22.770,26.081
115,14.054,14.856,15.952,17.736,20.187,22.887,26.224
116,14.075,14.880,15.984,17.789,20.272,23.002,26.365
117,14.095,14.904,16.017,17.842,20.357,23.116,26.506
118,14.114,14.928,16.049,17.894,20.440,23.228,26.646
119,14.133,14.951,16.081,17.946,20.522,23.340,26.784
120,14.151,14.974,16.113,17.997,20.603,23.450,26.922
121,14.169,14.996,16.144,18.048,20.683,23.558,27.059
122,14.187,15.019,16.176,18.098,20.761,23.665,27.195
123,14.204,15.041,16.207,18.148,20.839,23.772,27.331
124,14.221,15.064,16.239,18.198,20.917,23.878,27.467
125,14.237,15.086,16.271,18.249,20.994,23.983,27.603
126,14.254,15.109,16.303,18.299,21.071,24.088,27.740
127,14.271,15.133,16.336,18.350,21.148,24.193,27.876
128,14.288,15.156,16.370,18.401,21.225,24.298,28.014
129,14.305,15.180,16.404,18.452,21.302,24.403,28.152
130,14.323,15.204,16.438,18.504,21.380,24.508,28.291
131,14.340,15.229,16.473,18.557,21.457,24.614,28.431
132,14.357,15.254,16.508,18.610,21.535,24.720,28.573
133,14.375,15.279,16.545,18.664,21.614,24.828,28.716
134,14.393,15.305,16.581,18.718,21.693,24.936,28.860
135,14.412,15.332,16.619,18.773,21.773,25.045,29.006
136,14.430,15.359,16.657,18.829,21.855,25.155,29.153
137,14.449,15.386,16.695,18.885,21.936,25.266,29.301
138,14.468,15.413,16.733,18.942,22.018,25.378,29.450
