ageattest,C3,C10,C25,C50,C75,C90,C97,n
49,14.03198276,15.11214538,16.263605,17.57628167,19.13575156,21.08216062,23.7681267,301
50,14.15050229,15.24207653,16.40944008,17.74629184,19.33789827,21.32325201,24.06396506,480
51,14.26993088,15.37300757,16.55646069,17.91789648,19.5422947,21.56743891,24.36421339,1409
52,14.39037639,15.50505855,16.70480282,18.09125693,19.74913958,21.81496858,24.66919326,356
53,14.51173192,15.63811259,16.85433789,18.26623212,19.95828078,22.06567857,24.97873527,545
54,14.63401906,15.77219574,17.00509813,18.44286607,20.16978209,22.31965892,25.29297153,1950
55,14.75718966,15.9072598,17.15703541,18.62111358,20.38360563,22.5768806,25.61188659,713
56,14.88118881,16.04324967,17.31009443,18.80092178,20.59970491,22.8373041,25.93545056,1418
57,15.0059593,16.18010801,17.46421767,18.98223536,20.81803051,23.100886,26.2636274,1104
58,15.1314432,16.31777692,17.61934715,19.16499856,21.03853231,23.36758127,26.59637703,780
59,15.25762812,16.45624939,17.77548108,19.34921721,21.26122685,23.63741531,26.93372965,1317
60,15.3845567,16.59557984,17.93268562,19.53497195,21.48621194,23.91049954,27.27580119,1005
61,15.51227549,16.73582754,18.09103285,19.7223504,21.71359317,24.18695265,27.62271115,306
62,15.64083198,16.8770533,18.25059703,19.9114432,21.94347949,24.46689581,27.97457724,1434
63,15.77027648,17.01932155,18.41145705,20.1023466,22.17598612,24.75045574,28.33151833,835
64,15.90068102,17.16272072,18.57371833,20.29518649,22.41126092,25.0377938,28.69368702,221
65,16.03213151,17.30735485,18.73750395,20.49010873,22.64947393,25.32909447,29.06125624,1182
66,16.16471598,17.45333095,18.90294098,20.68726446,22.89080121,25.62454725,29.43439837,441
67,16.29852445,17.60075889,19.0701604,20.88681,23.13542476,25.92434652,29.81328458,407
68,16.43365074,17.74975294,19.23929855,21.08890832,23.38353438,26.22869426,30.19809005,837
69,16.57019911,17.90043742,19.41050204,21.29373394,23.63533386,26.53781044,30.58901487,522
70,16.70827877,18.05294207,19.58392375,21.50146908,23.89103622,26.85192494,30.98626767,32
71,16.84800155,18.20740022,19.75972132,21.71230216,24.15086176,27.17127429,31.39005843,1092
72,16.98948181,18.36394864,19.93805705,21.92642787,24.41503817,27.49610165,31.80059817,496
73,17.13281365,18.52270126,20.11906808,22.1440137,24.6837642,27.82661964,32.2180664,52
74,17.27804365,18.68371766,20.30283047,22.36515956,24.9571657,28.16296566,32.64257321,1120
75,17.42521276,18.84705122,20.48941375,22.58995869,25.23536158,28.50526939,33.07421898,305
76,17.57436245,19.01275639,20.67888911,22.81850682,25.51847383,28.85366294,33.5131032,229
77,17.72553225,19.18088582,20.87132627,23.05089867,25.80662366,29.20827679,33.9593205,1095
78,17.87869468,19.35141665,21.06671061,23.28713518,26.09982947,29.56913238,34.41285838,213
