ageattest,C3,C10,C25,C50,C75,C90,C97,n
49,13.66608038,14.69206147,15.84697748,17.27588091,19.00906315,21.0619464,23.76659726,305
50,13.77599708,14.81829232,15.99271834,17.44740556,19.21449553,21.31150611,24.08082007,489
51,13.88665518,14.94549109,16.13972715,17.62064044,19.42228956,21.56438193,24.39996207,1357
52,13.99820483,15.07382119,16.28818449,17.79579149,19.63268634,21.82086151,24.72438465,298
53,14.1105851,15.20320799,16.43800038,17.97275059,19.8455555,22.08078639,25.05389352,516
54,14.22388769,15.33374516,16.58927499,18.15163436,20.06103705,22.34431881,25.38867741,1907
55,14.33818935,15.46550226,16.74207964,18.33253578,20.27925459,22.61159536,25.72886146,658
56,14.45357167,15.59855265,16.8964895,18.51555432,20.50034192,22.88276289,26.07457416,1339
57,14.57011895,15.73297183,17.05258174,18.70079275,20.72443799,23.15797308,26.42594339,1030
58,14.68791697,15.86883605,17.21043431,18.88835643,20.95168698,23.43738274,26.7830961,752
59,14.80702924,16.00619598,17.37010075,19.07833788,21.18223655,23.7211581,27.14615591,1294
60,14.92749777,16.14507745,17.531611,19.27081752,21.41623874,24.00947585,27.51524343,1022
61,15.04936421,16.28550486,17.6949936,19.46587762,21.65385239,24.30252026,27.89047813,290
62,15.17267064,16.42750207,17.86027658,19.66360291,21.89524339,24.60048318,28.27197799,1403
63,15.29745885,16.57109134,18.02748569,19.86407755,22.14058031,24.90355907,28.65985551,773
64,15.42376639,16.71628757,18.1966351,20.06736821,22.39000873,25.21191645,29.05419736,209
65,15.55162977,16.86310262,18.36773387,20.27353533,22.64366805,25.52571638,29.45507804,1148
66,15.68108645,17.01154803,18.54079021,20.48264074,22.90170306,25.84512535,29.86256879,374
67,15.81217487,17.16163507,18.71581156,20.69474778,23.1642641,26.1703153,30.27673726,409
68,15.94493578,17.31338155,18.89281377,20.90992589,23.43150456,26.50146279,30.69766415,794
69,16.0794141,17.46682269,19.07183607,21.12825804,23.70357631,26.83874752,31.12547171,504
70,16.21565625,17.62199733,19.25292238,21.34983139,23.98063485,27.18235368,31.56029008,30
71,16.35370967,17.77894532,19.43611779,21.57473555,24.26284036,27.53247028,32.00225067,1034
72,16.49362119,17.93770633,19.62146747,21.80306093,24.55035515,27.88928836,32.45148443,487
73,16.63539289,18.09828749,19.80898747,22.03485204,24.84326979,28.25292131,32.90807332,47
74,16.77897456,18.26065804,19.99866007,22.27009964,25.14158953,28.62338999,33.37204229,1170
75,16.92431004,18.42478339,20.19046484,22.50878979,25.4453112,29.00070549,33.8434104,257
76,17.07133962,18.59062688,20.38438022,22.75090659,25.75442734,29.38487364,34.32219364,223
77,17.21999824,18.75814761,20.58038093,22.99642858,26.06892106,29.77588729,34.80839287,1013
78,17.3702036,18.92728611,20.77841971,23.2453036,26.38872884,30.17367054,35.30190481,199
79,17.52186238,19.09797193,20.97843702,23.49746169,26.71375876,30.57810524,35.80256385,386
80,17.67487646,19.2701312,21.18037069,23.75282845,27.0439095,30.98905933,36.31018718,966
81,17.82914276,19.44368649,21.38415585,24.01132485,27.37907007,31.40638634,36.82457449,377
82,17.98455506,19.6185604,21.58972885,24.27286782,27.71911473,31.82991835,37.34550492,646
83,18.14100837,19.7946839,21.79703623,24.53737151,28.06389179,32.25945023,37.87273092,520
84,18.29839402,19.97198722,22.00602505,24.8047456,28.41323413,32.69475439,38.40598341,228
85,18.45659831,20.15039754,22.21664044,25.07489473,28.7669616,33.13558419,38.9449726,820
86,18.61550339,20.32983968,22.4288262,25.34771922,29.12488182,33.58167466,39.48938871,518
87,18.77502849,20.51026883,22.64255339,25.62315099,29.48684096,34.03279956,40.0389523,13
88,18.93514765,20.69168468,22.85783243,25.90116865,29.85274554,34.48879633,40.59343718,1024
89,19.09583873,20.87409096,23.07467768,26.18175272,30.22249911,34.94949529,41.15260865,463
90,19.25707954,21.05749239,23.29310478,26.46488217,30.59599715,35.41471386,41.71621877,171
91,19.41885366,21.24189896,23.51313429,26.75053992,30.97313614,35.88426685,42.28401394,804
